INFO:     Started server process [2632]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
2026-07-22 07:49:34,015 | INFO | httpx | HTTP Request: GET https://air-quality-api.open-meteo.com/v1/air-quality?latitude=26.83399722&longitude=80.8917361&current=pm2_5%2Cpm10%2Cnitrogen_dioxide%2Ccarbon_monoxide%2Cozone%2Cdust&hourly=pm2_5%2Cpm10%2Cnitrogen_dioxide%2Ccarbon_monoxide%2Cozone%2Cdust&forecast_hours=72&past_days=7&timezone=UTC "HTTP/1.1 200 OK"
2026-07-22 07:49:34,028 | INFO | httpx | HTTP Request: GET https://air-quality-api.open-meteo.com/v1/air-quality?latitude=30.9028&longitude=75.8086&current=pm2_5%2Cpm10%2Cnitrogen_dioxide%2Ccarbon_monoxide%2Cozone%2Cdust&hourly=pm2_5%2Cpm10%2Cnitrogen_dioxide%2Ccarbon_monoxide%2Cozone%2Cdust&forecast_hours=72&past_days=7&timezone=UTC "HTTP/1.1 200 OK"
2026-07-22 07:49:34,039 | INFO | httpx | HTTP Request: GET https://air-quality-api.open-meteo.com/v1/air-quality?latitude=27.19865833&longitude=78.00598056&current=pm2_5%2Cpm10%2Cnitrogen_dioxide%2Ccarbon_monoxide%2Cozone%2Cdust&hourly=pm2_5%2Cpm10%2Cnitrogen_dioxide%2Ccarbon_monoxide%2Cozone%2Cdust&forecast_hours=72&past_days=7&timezone=UTC "HTTP/1.1 200 OK"
2026-07-22 07:49:34,047 | INFO | httpx | HTTP Request: GET https://air-quality-api.open-meteo.com/v1/air-quality?latitude=31.62&longitude=74.876512&current=pm2_5%2Cpm10%2Cnitrogen_dioxide%2Ccarbon_monoxide%2Cozone%2Cdust&hourly=pm2_5%2Cpm10%2Cnitrogen_dioxide%2Ccarbon_monoxide%2Cozone%2Cdust&forecast_hours=72&past_days=7&timezone=UTC "HTTP/1.1 200 OK"
2026-07-22 07:49:34,059 | INFO | httpx | HTTP Request: GET https://air-quality-api.open-meteo.com/v1/air-quality?latitude=28.646835&longitude=77.316032&current=pm2_5%2Cpm10%2Cnitrogen_dioxide%2Ccarbon_monoxide%2Cozone%2Cdust&hourly=pm2_5%2Cpm10%2Cnitrogen_dioxide%2Ccarbon_monoxide%2Cozone%2Cdust&forecast_hours=120&past_days=7&timezone=UTC "HTTP/1.1 200 OK"
2026-07-22 07:49:34,063 | INFO | httpx | HTTP Request: GET https://air-quality-api.open-meteo.com/v1/air-quality?latitude=28.646835&longitude=77.316032&current=pm2_5%2Cpm10%2Cnitrogen_dioxide%2Ccarbon_monoxide%2Cozone%2Cdust&hourly=pm2_5%2Cpm10%2Cnitrogen_dioxide%2Ccarbon_monoxide%2Cozone%2Cdust&forecast_hours=72&past_days=7&timezone=UTC "HTTP/1.1 200 OK"
2026-07-22 07:49:34,154 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/locations/235/sensors "HTTP/1.1 200 OK"
2026-07-22 07:49:34,167 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/locations/235/latest "HTTP/1.1 200 OK"
2026-07-22 07:49:34,171 | INFO | httpx | HTTP Request: GET https://api.open-meteo.com/v1/forecast?latitude=28.646835&longitude=77.316032&current=temperature_2m%2Crelative_humidity_2m%2Csurface_pressure%2Cwind_speed_10m%2Cwind_direction_10m%2Cweather_code&hourly=temperature_2m%2Crelative_humidity_2m%2Csurface_pressure%2Cprecipitation%2Ccloud_cover%2Cvisibility%2Cwind_speed_10m%2Cwind_direction_10m%2Cwind_gusts_10m%2Cboundary_layer_height%2Cweather_code&forecast_hours=120&past_days=7&timezone=UTC&wind_speed_unit=ms "HTTP/1.1 200 OK"
2026-07-22 07:49:44,917 | INFO | httpx | HTTP Request: GET https://firms.modaps.eosdis.nasa.gov/api/area/csv/50c9af0a60ed36988747b7181c16018e/VIIRS_SNPP_NRT/74.316032,25.646835,80.316032,31.646835/1 "HTTP/1.1 200 OK"
2026-07-22 07:49:44,931 | INFO | httpx | HTTP Request: GET https://air-quality-api.open-meteo.com/v1/air-quality?latitude=30.9028&longitude=75.8086&current=pm2_5%2Cpm10%2Cnitrogen_dioxide%2Ccarbon_monoxide%2Cozone%2Cdust&hourly=pm2_5%2Cpm10%2Cnitrogen_dioxide%2Ccarbon_monoxide%2Cozone%2Cdust&forecast_hours=72&past_days=7&timezone=UTC "HTTP/1.1 200 OK"
2026-07-22 07:49:44,933 | INFO | httpx | HTTP Request: GET https://air-quality-api.open-meteo.com/v1/air-quality?latitude=27.19865833&longitude=78.00598056&current=pm2_5%2Cpm10%2Cnitrogen_dioxide%2Ccarbon_monoxide%2Cozone%2Cdust&hourly=pm2_5%2Cpm10%2Cnitrogen_dioxide%2Ccarbon_monoxide%2Cozone%2Cdust&forecast_hours=72&past_days=7&timezone=UTC "HTTP/1.1 200 OK"
2026-07-22 07:49:44,935 | INFO | httpx | HTTP Request: GET https://air-quality-api.open-meteo.com/v1/air-quality?latitude=28.646835&longitude=77.316032&current=pm2_5%2Cpm10%2Cnitrogen_dioxide%2Ccarbon_monoxide%2Cozone%2Cdust&hourly=pm2_5%2Cpm10%2Cnitrogen_dioxide%2Ccarbon_monoxide%2Cozone%2Cdust&forecast_hours=72&past_days=7&timezone=UTC "HTTP/1.1 200 OK"
2026-07-22 07:49:44,938 | INFO | httpx | HTTP Request: GET https://air-quality-api.open-meteo.com/v1/air-quality?latitude=31.62&longitude=74.876512&current=pm2_5%2Cpm10%2Cnitrogen_dioxide%2Ccarbon_monoxide%2Cozone%2Cdust&hourly=pm2_5%2Cpm10%2Cnitrogen_dioxide%2Ccarbon_monoxide%2Cozone%2Cdust&forecast_hours=72&past_days=7&timezone=UTC "HTTP/1.1 200 OK"
2026-07-22 07:49:44,940 | INFO | httpx | HTTP Request: GET https://air-quality-api.open-meteo.com/v1/air-quality?latitude=28.646835&longitude=77.316032&current=pm2_5%2Cpm10%2Cnitrogen_dioxide%2Ccarbon_monoxide%2Cozone%2Cdust&hourly=pm2_5%2Cpm10%2Cnitrogen_dioxide%2Ccarbon_monoxide%2Cozone%2Cdust&forecast_hours=120&past_days=7&timezone=UTC "HTTP/1.1 200 OK"
2026-07-22 07:49:44,942 | INFO | httpx | HTTP Request: GET https://air-quality-api.open-meteo.com/v1/air-quality?latitude=26.83399722&longitude=80.8917361&current=pm2_5%2Cpm10%2Cnitrogen_dioxide%2Ccarbon_monoxide%2Cozone%2Cdust&hourly=pm2_5%2Cpm10%2Cnitrogen_dioxide%2Ccarbon_monoxide%2Cozone%2Cdust&forecast_hours=72&past_days=7&timezone=UTC "HTTP/1.1 200 OK"
2026-07-22 07:49:44,944 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/locations/235/latest "HTTP/1.1 200 OK"
2026-07-22 07:49:44,946 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/locations/235/sensors "HTTP/1.1 200 OK"
2026-07-22 07:49:56,114 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/381/measurements/hourly?datetime_from=2026-07-15T02%3A19%3A44.976011%2B00%3A00&datetime_to=2026-07-22T02%3A19%3A44.976011%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:49:56,117 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/12235605/measurements/hourly?datetime_from=2026-07-15T02%3A19%3A44.976011%2B00%3A00&datetime_to=2026-07-22T02%3A19%3A44.976011%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:49:56,119 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/12235612/measurements/hourly?datetime_from=2026-07-15T02%3A19%3A44.976011%2B00%3A00&datetime_to=2026-07-22T02%3A19%3A44.976011%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:49:56,120 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/12235610/measurements/hourly?datetime_from=2026-07-15T02%3A19%3A44.976011%2B00%3A00&datetime_to=2026-07-22T02%3A19%3A44.976011%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:49:56,123 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/12235609/measurements/hourly?datetime_from=2026-07-15T02%3A19%3A44.976011%2B00%3A00&datetime_to=2026-07-22T02%3A19%3A44.976011%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
